Grouping,Politician,Usernames,Party,State,AccountID,AccountID_1,AccountID_2
1,"Hickenlooper, John W.",SenatorHick,D,CO,1318728336923787264,13187283369237,87264
1,"Gonzales, Tony",RepTonyGonzales,R,TX,1343627416120532992,13436274161205,32992
1,"Gonzales, Tony",TonyGonzales4TX,R,TX,1124044084669288450,11240440846692,88450
1,"Molinaro, Marcus J.",RepMolinaroNY19,R,NY,1603419749748297728,16034197497482,97728
1,"Molinaro, Marcus J.",MarcMolinaroNY,R,NY,1466119349207449600,14661193492074,49600
1,"Houlahan, Chrissy",RepHoulahan,D,PA,1052896620797460481,10528966207974,60481
1,"Houlahan, Chrissy",HoulahanForPa,D,PA,847098017274613761,8470980172746,13761
1,"Ivey, Glenn",RepGlennIvey,D,MD,1610111693836664834,16101116938366,64834
1,"Ivey, Glenn",Glenn_Ivey,D,MD,3081969927,30819,69927
1,"Ivey, Glenn",glenniveymd,D,MD,1442975922802544641,14429759228025,44641
1,"Norman, Ralph",RepRalphNorman,R,SC,880480631108644864,8804806311086,44864
1,"Norman, Ralph",RalphNorman,R,SC,61886317,618,86317
1,"Crockett, Jasmine",RepJasmine,D,TX,1609974443631157248,16099744436311,57248
1,"Crockett, Jasmine",JasmineForUS,D,TX,918913624395079680,9189136243950,79680
1,"Franklin, C. Scott",RepFranklin,R,FL,1343664721384398849,13436647213843,98849
1,"Franklin, C. Scott",ScottFranklinFL,R,FL,1247958910025203712,124795891002520,3712
1,"Collins, Susan M.",SenatorCollins,R,ME,19726613,197,26613
1,"Collins, Susan M.",SenSusanCollins,R,ME,13529632,135,29632
2,"Schrier, Kim",RepKimSchrier,D,WA,1080462532815532032,10804625328155,32032
2,"Schrier, Kim",DrKimSchrier,D,WA,862393019173003264,86239301917300,3264
2,"Balint, Becca",RepBeccaB,D,VT,1606115178210365448,16061151782103,65448
2,"Balint, Becca",BeccaBalintVT,D,VT,1210894642465501184,121089464246550,1184
2,"Mrvan, Frank J.",RepMrvan,D,IN,1346205046036377601,13462050460363,77601
2,"Mrvan, Frank J.",mrvan4congress,D,IN,1195472282329735169,11954722823297,35169
2,"Mrvan, Frank J.",Fjmrvan,D,IN,255831472,2558,31472
2,"Slotkin, Elissa",RepSlotkin,D,MI,1078401427347857408,10784014273478,57408
2,"Slotkin, Elissa",ElissaSlotkin,D,MI,860547911268139008,8605479112681,39008
2,"Deluzio, Christopher R.",RepDeluzio,D,PA,1608934316779921408,16089343167799,21408
2,"Deluzio, Christopher R.",ChrisForPA,D,PA,227073090,2270,73090
2,"Craig, Angie",RepAngieCraig,D,MN,1080222360643485698,10802223606434,85698
2,"Craig, Angie",AngieCraigMN,D,MN,411861905,4118,61905
2,"Murphy, Gregory Francis",RepGregMurphy,R,NC,1173978070535024642,11739780705350,24642
2,"Murphy, Gregory Francis",GregMurphyMD,R,NC,1100072194632237056,11000721946322,37056
2,"Murphy, Gregory Francis",GMMD4Greenville,R,NC,4698391652,46983,91652
2,"Kelly, Mike",MikeKellyPA,R,PA,935368364,9353,68364
2,"Kelly, Mike",MikeKellyforPA,R,PA,113763245,1137,63245
2,"Bilirakis, Gus M.",RepGusBilirakis,R,FL,26051676,260,51676
2,"Bilirakis, Gus M.",Bilirakis,R,FL,95236960,952,36960
3,"Gonzalez, Vicente",RepGonzalez,D,TX,818536152588238849,8185361525882,38849
3,"Gonzalez, Vicente",VoteVicente,D,TX,4632984534,46329,84534
3,"Jayapal, Pramila",RepJayapal,D,WA,815733290955112448,8157332909551,12448
3,"Jayapal, Pramila",PramilaJayapal,D,WA,193441812,1934,41812
3,"Eshoo, Anna G.",RepAnnaEshoo,D,CA,249348006,2493,48006
3,"Eshoo, Anna G.",Eshoo4Congress,D,CA,482713734,4827,13734
3,"Feenstra, Randy",RepFeenstra,R,IA,1345135363761852416,13451353637618,52416
3,"Feenstra, Randy",RandyFeenstra,R,IA,23764160,237,64160
3,"Van Drew, Jefferson",Congressman_JVD,R,NJ,1468677099594698757,14686770995946,98757
3,"Kennedy, John",SenJohnKennedy,R,LA,816683274076614656,8166832740766,14656
3,"Kennedy, John",JohnKennedyLA,R,LA,26594419,265,94419
3,"Blackburn, Marsha",MarshaBlackburn,R,TN,278145569,2781,45569
3,"Miller, Carol",RepCarolMiller,R,WV,1081318716573470720,10813187165734,70720
3,"Miller, Carol",CarolMillerWV,R,WV,841994444,8419,94444
3,"Granger, Kay",RepKayGranger,R,TX,161743731,1617,43731
3,"Granger, Kay",GrangerCampaign,R,TX,1197909460678823936,11979094606788,23936
4,"Carter, John",JudgeCarter,R,TX,18030431,180,30431
4,"Carter, John",JudgeJohnCarter,R,TX,404355121,4043,55121
4,"Garcia, Robert",RepRobertGarcia,D,CA,1602792195878047744,16027921958780,47744
4,"Garcia, Robert",RobertGarcia,D,CA,18120497,181,20497
4,"Crow, Jason",RepJasonCrow,D,CO,1080191866509901826,108019186650990,1826
4,"Crow, Jason",JasonCrowCO,D,CO,851477335052140544,8514773350521,40544
4,"Soto, Darren",RepDarrenSoto,D,FL,818713465653051392,8187134656530,51392
4,"Soto, Darren",DarrenSoto,D,FL,1730030220,17300,30220
4,"Kelly, Robin",RepRobinKelly,D,IL,1339931490,13399,31490
4,"Kelly, Robin",RobinLynneKelly,D,IL,38285038,382,85038
4,"Harris, Andy",RepAndyHarrisMD,R,MD,960962340,9609,62340
4,"Harris, Andy",Harris4Congress,R,MD,122713203,1227,13203
4,"Hageman, Harriet M.",HagemanforWY,R,WY,1435822302323695629,14358223023236,95629
4,"Tillis, Thom",SenThomTillis,R,NC,2964174789,29641,74789
4,"Tillis, Thom",ThomTillis,R,NC,22195441,221,95441
4,"McCaul, Michael T.",RepMcCaul,R,TX,26424123,264,24123
4,"McCaul, Michael T.",McCaulforTexas,R,TX,743601590,74360,1590
5,"Thompson, Mike",RepThompson,D,CA,303861808,3038,61808
5,"Thompson, Mike",Mike_CA05,D,CA,3612420317,36124,20317
5,"Graham, Lindsey",LindseyGrahamSC,R,SC,432895323,4328,95323
5,"Case, Ed",RepEdCase,D,HI,1081350574589833221,10813505745898,33221
5,"Case, Ed",EdCaseHawaii,D,HI,21737536,217,37536
5,"Davis, Danny K.",RepDannyDavis,D,IL,789244177,7892,44177
5,"Davis, Danny K.",DannyKDavis7th,D,IL,1217134603267399680,12171346032673,99680
5,"Morelle, Joe",RepJoeMorelle,D,NY,1064595993222615040,10645959932226,15040
5,"Morelle, Joe",votemorelle,D,NY,977247448820305920,97724744882030,5920
5,"DesJarlais, Scott",DesJarlaisTN04,R,TN,235312723,2353,12723
5,"DesJarlais, Scott",tndesjarlais,R,TN,27775884,277,75884
5,"DelBene, Suzan",RepDelBene,D,WA,995193054,9951,93054
5,"DelBene, Suzan",SuzanDelBene,D,WA,41225640,412,25640
5,"Adams, Alma",RepAdams,D,NC,2916086925,29160,86925
5,"Adams, Alma",AlmaforCongress,D,NC,1609364557,16093,64557
5,"Steil, Bryan",RepBryanSteil,R,WI,1075205691621720064,10752056916217,20064
5,"Steil, Bryan",BryanSteil,R,WI,986423555025002497,98642355502500,2497
6,"García, Jesús ""Chuy""",RepChuyGarcia,D,IL,1082427779583541248,10824277795835,41248
6,"Blumenauer, Earl",repblumenauer,D,OR,15954997,159,54997
6,"Van Hollen, Chris",ChrisVanHollen,D,MD,18137749,181,37749
6,"Van Hollen, Chris",VanHollenForMD,D,MD,3067974778,30679,74778
6,"Salazar, Maria Elvira",RepMariaSalazar,R,FL,1325928411689349120,13259284116893,49120
6,"Salazar, Maria Elvira",MaElviraSalazar,R,FL,40282700,402,82700
6,"Williams, Roger",RepRWilliams,R,TX,1077446982,10774,46982
6,"Williams, Roger",RogerWilliamsTX,R,TX,18197328,181,97328
6,"Scott, Tim",SenatorTimScott,R,SC,217543151,2175,43151
6,"Scott, Tim",votetimscott,R,SC,81191343,811,91343
6,"Warren, Elizabeth",SenWarren,D,MA,970207298,97020,7298
6,"Warren, Elizabeth",ewarren,D,MA,357606935,35760,6935
6,"Plaskett, Stacey",StaceyPlaskett,D,VI,2724095695,27240,95695
